exchange,timestamp,market,observed_entry_price,alpha_score,reason_group,status,window_start,deadline,max_high,min_low,time_stop_exit,mfe_net_pct,mae_net_pct,time_stop_net_pct,reason
upbit,2026-09-07T00:08:47+09:00,KRW-JUP,359.0,22,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:47+09:00,370.0,359.0,367.0,2.7759,-0.2796,1.9426,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 22점, MA5 <= MA20, RSI 32.1, %B 0.11, 저점거리 1.41%, 최근고점대비 3.90%, 반등확인 차단, 이격 안정, 1H 364.0 >= EMA20 335.2 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.43, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:08:50+09:00,KRW-NEAR,3239.0,29,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:50+09:00,3336.0,3200.0,3329.0,2.7068,-1.4803,2.4913,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 30.1, %B 0.13, 저점거리 0.47%, 최근고점대비 4.57%, 반등확인 차단, 이격 안정, 1H 3278.0 >= EMA20 3142.2 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.64, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:08:52+09:00,KRW-ZAMA,79.5,29,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:52+09:00,80.8,77.1,77.6,1.351,-3.29,-2.6629,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 35.9, %B 0.04, 저점거리 1.15%, 최근고점대비 9.81%, 반등확인 차단, 이격 안정, 1H 80.8 >= EMA20 75.5 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.99, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:08:53+09:00,KRW-ORCA,1922.0,29,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:53+09:00,2004.0,1919.0,1945.0,3.9749,-0.4353,0.9137,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 24.8, %B 0.31, 저점거리 1.64%, 최근고점대비 1.56%, 반등확인 차단, 이격 안정, 1H 1934.0 >= EMA20 1855.8 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.16, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:08:55+09:00,KRW-PROM,7525.0,49,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:55+09:00,7750.0,7510.0,7510.0,2.7021,-0.4784,-0.4784,"1차 퀀트 관망 대기: 하드게이트 통과, 알파스코어 49점, MA5 <= MA20, RSI 47.1, %B 0.38, 저점거리 0.87%, 최근고점대비 2.33%, 반등확인 차단, 이격 안정, 1H 7540.0 >= EMA20 7265.5 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.28, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:08:56+09:00,KRW-ONDO,509.0,32,상위 추세 미달,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:56+09:00,516.0,508.0,516.0,1.0918,-0.4755,1.0918,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 32점, MA5 <= MA20, RSI 20.0, %B 0.10, 저점거리 0.59%, 최근고점대비 1.96%, 반등확인 차단, 이격 안정, 1H 510.0 < EMA20 511.2 (기준 0.998)"
upbit,2026-09-07T00:08:57+09:00,KRW-ENS,8175.0,37,상위 추세 미달,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:57+09:00,8600.0,8180.0,8540.0,4.9046,-0.2186,4.1727,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 37점, MA5 <= MA20, RSI 23.5, %B 0.22, 저점거리 1.05%, 최근고점대비 2.08%, 반등확인 통과, 이격 안정, 1H 8190.0 < EMA20 8249.7 (기준 0.998)"
upbit,2026-09-07T00:08:58+09:00,KRW-LINK,16530.0,24,반등 미확인,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:58+09:00,16880.0,16550.0,16840.0,1.8318,-0.159,1.5905,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 24점, MA5 <= MA20, RSI 28.8, %B 0.02, 저점거리 0.18%, 최근고점대비 2.18%, 반등확인 차단, 이격 안정, 1H 16600.0 >= EMA20 16616.8 (기준 0.998)"
upbit,2026-09-07T00:08:59+09:00,KRW-WLD,554.0,32,반등 미확인,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:59+09:00,562.0,553.0,560.0,1.1604,-0.4596,0.8004,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 32점, MA5 <= MA20, RSI 28.1, %B -0.00, 저점거리 0.36%, 최근고점대비 3.07%, 반등확인 차단, 이격 안정, 1H 557.0 >= EMA20 552.6 (기준 0.998)"
upbit,2026-09-07T00:08:59+09:00,KRW-VIRTUAL,940.0,37,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:59+09:00,958.0,939.0,957.0,1.6299,-0.3857,1.5238,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 37점, MA5 <= MA20, RSI 19.6, %B 0.10, 저점거리 0.32%, 최근고점대비 2.13%, 반등확인 차단, 이격 안정, 1H 944.0 >= EMA20 941.7 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=4.86, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:13:39+09:00,KRW-FLOCK,98.8,37,RSI 범위 이탈,COMPLETE,2026-09-07T00:15:00+09:00,2026-09-07T01:43:39+09:00,101.0,96.9,98.3,1.9409,-2.1973,-0.7843,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 37점, MA5 <= MA20, RSI 47.9, %B 0.19, 저점거리 4.11%, 최근고점대비 5.26%, 반등확인 차단, 이격 안정, 1H 99.5 >= EMA20 95.7 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.36, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:13:41+09:00,KRW-JUP,359.0,22,RSI 범위 이탈,COMPLETE,2026-09-07T00:15:00+09:00,2026-09-07T01:43:41+09:00,370.0,359.0,365.0,2.7759,-0.2796,1.387,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 22점, MA5 <= MA20, RSI 33.3, %B 0.14, 저점거리 1.41%, 최근고점대비 3.62%, 반등확인 통과, 이격 안정, 1H 364.0 >= EMA20 335.2 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.67, 양봉=통과, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:13:42+09:00,KRW-NEAR,3224.0,29,RSI 범위 이탈,COMPLETE,2026-09-07T00:15:00+09:00,2026-09-07T01:43:42+09:00,3336.0,3200.0,3326.0,3.1846,-1.0219,2.8753,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 27.5, %B 0.05, 저점거리 0.16%, 최근고점대비 3.91%, 반등확인 차단, 이격 안정, 1H 3278.0 >= EMA20 3142.2 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.30, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:13:44+09:00,KRW-ZAMA,79.1,29,RSI 범위 이탈,COMPLETE,2026-09-07T00:15:00+09:00,2026-09-07T01:43:44+09:00,80.8,77.1,77.7,1.8636,-2.801,-2.0446,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 32.6, %B 0.05, 저점거리 0.64%, 최근고점대비 8.85%, 반등확인 차단, 이격 안정, 1H 80.8 >= EMA20 75.5 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.18, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:13:45+09:00,KRW-ORCA,1919.0,29,RSI 범위 이탈,COMPLETE,2026-09-07T00:15:00+09:00,2026-09-07T01:43:45+09:00,2004.0,1922.0,1947.0,4.1374,-0.1237,1.1754,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 28.2, %B 0.30, 저점거리 1.48%, 최근고점대비 1.41%, 반등확인 차단, 이격 안정, 1H 1934.0 >= EMA20 1855.8 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.05, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:13:46+09:00,KRW-ONDO,509.0,29,상위 추세 미달,COMPLETE,2026-09-07T00:15:00+09:00,2026-09-07T01:43:46+09:00,516.0,508.0,515.0,1.0918,-0.4755,0.8959,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 20.0, %B 0.14, 저점거리 0.59%, 최근고점대비 1.57%, 반등확인 통과, 이격 안정, 1H 510.0 < EMA20 511.2 (기준 0.998)"
